fix,lat,lon
11758,47.031333,-122.149556
11759,47.013333,-122.381778
11760,47.204861,-123.196111
11772,64.578092,-149.078700
11773,65.849150,-147.276533
11777,64.819444,-149.030111
11778,64.998583,-148.996222
11779,65.385028,-148.921528
11780,64.154269,-145.693728
11785,40.793822,-072.519839
11791,40.467289,-080.328367
11795,43.513914,-082.172128
11796,36.984383,-082.168439
11797,36.935214,-082.379644
11798,41.288397,-099.032031
11799,36.256708,-082.981658
11800,37.328942,-082.212361
11801,36.399128,-082.604456
11802,36.580469,-082.117461
11803,35.015922,-083.169733
11804,35.014811,-083.226844
11811,38.164475,-082.426372
11812,38.321833,-082.320286
11813,38.411917,-082.259311
11814,38.981744,-081.812353
11816,39.376772,-080.873911
11820,39.821750,-080.546111
11821,40.015294,-080.482344
11822,40.332625,-080.377064
11823,38.779197,-081.399092
11825,41.487997,-070.671167
11826,31.784500,-106.717528
11829,33.526444,-084.347811
11830,33.472306,-084.431842
11837,44.511983,-122.717336
11838,44.790814,-122.350939
11839,44.991528,-122.084000
11840,45.061481,-121.990328
11841,45.184111,-121.825306
11842,45.402500,-121.528889
11843,45.579000,-121.286833
11844,45.741250,-121.051972
11846,46.321750,-120.006944
11847,47.163167,-118.418806
11848,47.424631,-117.906031
11850,32.659131,-108.815917
11851,32.605856,-108.616219
11854,33.203889,-103.800508
11856,48.999994,-112.291225
11857,49.000008,-109.457983
11858,46.723233,-103.167119
11860,45.268156,-103.167119
11862,46.882233,-103.167122
11863,46.090031,-103.167117
11882,32.514417,-090.268811
11901,48.999972,-096.495583
11902,48.999986,-097.131836
11903,48.999983,-096.929936
11904,31.608086,-084.719444
11905,32.460586,-085.005431
11906,32.982400,-085.183303
11907,33.652639,-085.486056
11908,34.292194,-085.787250
11909,34.460167,-085.867194
11911,35.454028,-086.347361
11912,26.580242,-081.877086
11913,34.511992,-082.783581
11915,36.464661,-084.312319
11916,35.061506,-083.216428
11917,35.015728,-083.180122
11918,35.007114,-083.173289
11922,34.492011,-114.000778
11923,48.999825,-123.108417
11924,38.562472,-094.201167
11930,35.061053,-099.584564
11931,35.309111,-099.818250
11932,38.125342,-102.612692
11933,37.705400,-102.178406
11934,35.501019,-100.000389
11935,35.709933,-100.199956
11936,35.990528,-100.470083
11937,36.026372,-100.504803
11940,36.916747,-101.380186
11941,36.984136,-101.447519
11942,37.374797,-101.841058
11943,37.508850,-101.977369
11956,38.510375,-117.290228
